Ensembl_ID,Gene,Cell_type
ENSG00000162747,FCGR3B,Neutrophil
ENSG00000133048,CHI3L1,Neutrophil
ENSG00000100985,MMP9,Neutrophil
ENSG00000115590,IL1R2,Neutrophil
ENSG00000163739,CXCL1,Neutrophil
ENSG00000124107,SLPI,Neutrophil
ENSG00000138772,ANXA3,Neutrophil
ENSG00000123689,G0S2,Neutrophil
ENSG00000196549,MME,Neutrophil
ENSG00000162551,ALPL,Neutrophil
ENSG00000125780,TGM3,Neutrophil
ENSG00000115507,OTX1,Neutrophil
ENSG00000123838,C4BPA,Neutrophil
ENSG00000124875,CXCL6,Neutrophil
ENSG00000170956,CEACAM3,Neutrophil
ENSG00000249662,LINC02218,Neutrophil
ENSG00000103154,NECAB2,Neutrophil
ENSG00000168903,BTNL3,Neutrophil
ENSG00000229314,ORM1,Neutrophil
ENSG00000103569,AQP9,Neutrophil
ENSG00000148926,ADM,Neutrophil
ENSG00000180871,CXCR2,Neutrophil
ENSG00000281106,TMEM272,Neutrophil
ENSG00000157551,KCNJ15,Neutrophil
ENSG00000239839,DEFA3,Neutrophil
ENSG00000186529,CYP4F3,Neutrophil
ENSG00000157856,DRC1,Neutrophil
ENSG00000123610,TNFAIP6,Neutrophil
ENSG00000163421,PROK2,Neutrophil
ENSG00000154928,EPHB1,Neutrophil
ENSG00000012223,LTF,Neutrophil
ENSG00000122733,PHF24,Neutrophil
ENSG00000154330,PGM5,Neutrophil
ENSG00000164821,DEFA4,Neutrophil
ENSG00000197992,CLEC9A,Neutrophil
ENSG00000164683,HEY1,Neutrophil
ENSG00000118520,ARG1,Neutrophil
ENSG00000228278,ORM2,Neutrophil
ENSG00000160200,CBS,Neutrophil
ENSG00000073756,PTGS2,Neutrophil
ENSG00000091622,PITPNM3,Neutrophil
ENSG00000106714,CNTNAP3,Neutrophil
ENSG00000189337,KAZN,Neutrophil
ENSG00000221937,TAS2R40,Neutrophil
ENSG00000102010,BMX,Neutrophil
ENSG00000110693,SOX6,Neutrophil
ENSG00000196415,PRTN3,Neutrophil
ENSG00000137078,SIT1,Lymphocyte
ENSG00000175707,KDF1,Lymphocyte
ENSG00000117318,ID3,Lymphocyte
ENSG00000179088,C12orf42,Lymphocyte
ENSG00000117090,SLAMF1,Lymphocyte
ENSG00000186265,BTLA,Lymphocyte
ENSG00000189152,GRAPL,Lymphocyte
ENSG00000105289,TJP3,Lymphocyte
ENSG00000100079,LGALS2,Monocyte
ENSG00000179921,GPBAR1,Monocyte
ENSG00000135218,CD36,Monocyte
ENSG00000119457,SLC46A2,Monocyte
ENSG00000161944,ASGR2,Monocyte
ENSG00000153823,PID1,Monocyte
ENSG00000164125,GASK1B,Monocyte
ENSG00000019169,MARCO,Monocyte
ENSG00000106066,CPVL,Monocyte
ENSG00000137726,FXYD6,Monocyte
ENSG00000038427,VCAN,Monocyte
ENSG00000010327,STAB1,Monocyte
ENSG00000186407,CD300E,Monocyte
ENSG00000138061,CYP1B1,Monocyte
ENSG00000074964,ARHGEF10L,Monocyte
ENSG00000146070,PLA2G7,Monocyte
ENSG00000167600,CYP2S1,Monocyte
ENSG00000090382,LYZ,Monocyte
ENSG00000197046,SIGLEC15,Monocyte
ENSG00000177575,CD163,Monocyte
ENSG00000165092,ALDH1A1,Monocyte
ENSG00000116990,MYCL,Monocyte
ENSG00000130558,OLFM1,Monocyte
ENSG00000156414,TDRD9,Monocyte
ENSG00000088827,SIGLEC1,Monocyte
ENSG00000106565,TMEM176B,Monocyte
ENSG00000150540,HNMT,Monocyte
ENSG00000133105,RXFP2,Monocyte
ENSG00000157168,NRG1,Monocyte
ENSG00000158485,CD1B,Monocyte
ENSG00000187164,SHTN1,Monocyte
ENSG00000119915,ELOVL3,Monocyte
ENSG00000155659,VSIG4,Monocyte
ENSG00000079215,SLC1A3,Monocyte
ENSG00000185339,TCN2,Monocyte
ENSG00000205846,CLEC6A,Monocyte
ENSG00000109667,SLC2A9,Monocyte
ENSG00000138119,MYOF,Monocyte
ENSG00000174776,WDR49,Monocyte
ENSG00000204136,GGTA1,Monocyte
ENSG00000158488,CD1E,Monocyte
ENSG00000139970,RTN1,Monocyte
ENSG00000187474,FPR3,Monocyte
ENSG00000163702,IL17RC,Monocyte
ENSG00000161905,ALOX15,Eosinophil
ENSG00000103355,PRSS33,Eosinophil
ENSG00000092067,CEBPE,Eosinophil
ENSG00000282608,ADORA3,Eosinophil
ENSG00000112759,SLC29A1,Eosinophil
ENSG00000188290,HES4,Eosinophil
ENSG00000124233,SEMG1,Eosinophil
ENSG00000274736,CCL23,Eosinophil
ENSG00000182557,SPNS3,Eosinophil
ENSG00000215148,PRSS41,Eosinophil
ENSG00000105366,SIGLEC8,Eosinophil
ENSG00000114315,HES1,Eosinophil
ENSG00000131203,IDO1,Eosinophil
ENSG00000121933,TMIGD3,Eosinophil
ENSG00000133317,LGALS12,Eosinophil
ENSG00000137672,TRPC6,Eosinophil
ENSG00000169397,RNASE3,Eosinophil
ENSG00000120279,MYCT1,Eosinophil
ENSG00000131773,KHDRBS3,Eosinophil
ENSG00000002726,AOC1,Eosinophil
ENSG00000233608,TWIST2,Eosinophil
ENSG00000157368,IL34,Eosinophil
ENSG00000196581,AJAP1,Eosinophil
ENSG00000166016,ABTB2,Eosinophil
ENSG00000113296,THBS4,Eosinophil
ENSG00000121053,EPX,Eosinophil
ENSG00000160180,TFF3,Eosinophil
